new_es_symbol,es_symbol,es_name,stage,qa_approved
R151XY002LA,R151XY002LA,Saline Marsh 55-64 PZ,Approved,yes
R151XY004LA,R151XY004LA,Brackish Fluid Marsh 60-64 PZ,Approved,yes
R151XY005LA,R151XY005LA,Brackish Firm Mineral Marsh 55-64 PZ,Approved,yes
R151XY006LA,R151XY006LA,Clayey Chenier Brackish Marsh 55-64 PZ,Approved,yes
R151XY008LA,R151XY008LA,Fresh Fluid Marsh 60-64 PZ,Approved,yes
R151XY009LA,R151XY009LA,Fresh Firm Mineral Marsh 60-64 PZ,Approved,yes
R151XY010LA,R151XY010LA,Sandy Chenier 55-64 PZ,Approved,yes
R151XY011LA,R151XY011LA,Saline Sandy Ridge 55-64 PZ,Approved,yes
F147XY001PA,F147XY001PA,Poorly Drained Fine Alluvial Terrace ,Approved,yes
F127XY003WV,F127XY003WV,Acidic Shale Upland Oak/Heath ,Approved,yes
R034AB126WY,R034AB126WY,"Loamy, Calcareous (Green River Basin)",Approved,yes
R034AC122WY,R034AC122WY,Loamy (Pinedale Plateau) ,Approved,yes
R103XY001MN,R103XY001MN,Loamy Wet Prairies ,Approved,yes
F097XA004MI,F097XA004MI,Dry Sandy Lake Plain ,Approved,yes
R015XF006CA,R015XF006CA,Steep Clayey Hills ,Approved,yes
R015XF008CA,R015XF008CA,Shallow Gravelly Foothills ,Approved,yes
R015XF016CA,R015XF016CA,Very Shallow Steep Foothills ,Approved,yes
DX032X01A143,R032XA143WY,"Saline Upland, Clayey Big Horn Basin Core",Approved,yes
DX032X01A141,R032XA141WY,"Saline Upland, Loamy Big Horn Basin Core",Approved,yes
F137XY002GA,F137XY002GA,Loamy Summit Woodland - PROVISIONAL ,Approved,yes
DX032X01B141,R032XB141WY,"Saline Upland, Loamy Big Horn Basin Rim",Approved,yes
R072XY100KS,R072XY100KS,Loamy Tableland ,Approved,yes
F154XX002FL,F154XX002FL,"Xeric Bicolor Sandy Uplands 9,10",Approved,yes
R154XX001FL,R154XX001FL,"Yellow Sands Xeric Uplands 9,10",Approved,yes
R072XY101KS,R072XY101KS,Limy Slopes ,Approved,yes
DX032X02B150,R032XD150WY,Sandy (Sy) Wind River Basin Rim,Approved,yes
DX032X02B122,R032XD122WY,Loamy (Ly) Wind River Basin Rim,Approved,yes
DX032X02A122,R032XC122WY,Loamy (Ly) Wind River Basin Core,Approved,yes
DX032X02A144,R032XC144WY,Saline Upland Wind River Basin Core,Approved,yes
DX032X02A150,R032XC150WY,Sandy (Sy) Wind River Basin Core,Approved,yes
R072XY102KS,R072XY102KS,Saline Subirrigated ,Approved,yes
R072XY103KS,R072XY103KS,Subirrigated ,Approved,yes
R072XY104KS,R072XY104KS,Saline Lowland ,Approved,yes
R072XY107KS,R072XY107KS,Sandy Lowland ,Approved,yes
R072XY108KS,R072XY108KS,Loamy Lowland ,Approved,yes
